,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,un_pmra,un_pmdec,zero_point,un_plx,gmm_prob
50,1636148068921376768,Gaia DR3 2076273713018930048,2076273713018930048,1172981044,2016.0,295.302799605172,0.013491654,39.8127136384076,0.015651073,0.5074169769959955,0.017312236,27.687122,4.488971,-1.8150203032080192,0.01762092,-4.105674410567566,0.017759392,-0.03206348,-0.011893882,-0.073307134,-0.05093253,0.29115054,-0.10593541,-0.2309602,-0.18557486,-0.14891037,-0.03536443,379,0,377,2,1.9440109,435.93307,0.0,0.0,31,False,1.4745625,,,,,,,,43,27,0.025114851,46,17,0,0.019543512,164.58864,0,0,1.0711939,0.18741713,0.10857112,0.17326945,0.13387626,-115.63295,79.34289,-5.003871,-18.591768,False,390,27442.589134073707,5.1973424,5280.1196,14.591304,42,12367.857877991086,16.201937,763.35675,15.107806,42,21469.91392598658,15.091068,1422.6902,13.91832,1.2330387,0.0,1.0,0.0,1.0,0.0,1.1894865,0.5165024,0.6729841,-31.162025,6.628939,2.0,19.0,6.0,18.0,4.6944613,,,916.8517,,5250.0,3.5,0.25,222.0,,,,13.572142,0.118851714,14.0,,NOT_AVAILABLE,73.63753326904967,8.317106155597642,310.6433755017771,59.73239973025337,False,False,0,True,True,False,False,False,False,True,False,1.0221753e-13,5.1057157e-13,0.9999806,,,,,,,,,,,,,,,,,,,,,,,0.9708387266442865,0.4325572421010596,-0.028091,3.4118361790911518,4.633596573167371e-14
164,1636148068921376768,Gaia DR3 2076277488284714112,2076277488284714112,1786490466,2016.0,295.52773861079606,0.01771249,39.8499932818955,0.020695256,0.1519897682061985,0.022515727,5.4625716,6.0262084,-2.4189067377472604,0.02401501,-5.519427400472452,0.02604653,-0.065855406,-0.018711397,-0.15302083,-0.00045168822,0.26548135,-0.04675111,-0.33889076,-0.17944641,-0.08885777,-0.06811516,346,0,344,2,0.9723614,371.41455,0.0,0.0,31,False,1.411107,,,,,,,,40,23,0.037202902,43,17,0,0.021468896,1.2700958,0,0,1.0365795,0.18664747,0.11248444,0.20766705,0.26089594,-119.09828,68.23383,14.15667,-25.866123,False,349,17117.97011937211,9.275008,1845.6016,15.103736,34,6623.606635476034,31.964521,207.21745,15.785806,40,16081.363142877946,108.03848,148.84848,14.232088,1.3263822,6.0,13.0,0.0,17.0,0.0,1.5537176,0.6820698,0.87164783,-47.474747,6.7617283,2.0,7.0,5.0,6.0,3.371054,,,886.11536,,4750.0,3.0,0.0,222.0,,,,14.088051,0.13697258,3.0,,NOT_AVAILABLE,73.75421448873303,8.183337520074057,310.99076279955693,59.70899224774307,False,False,0,True,False,False,False,False,True,True,False,1.02259144e-13,5.134016e-13,0.9999766,4950.0776,4935.639,4961.205,3.3445,3.3218,3.362,0.3498,0.3486,0.3506,2709.1567,2659.5244,2773.3008,1.0104,0.9957,1.0223,0.7705,0.7589,0.7798,0.4024,0.3962,0.4074,PHOENIX,0.9928042956449531,0.4719063792336587,-0.028996,14.81397548383244,3.982367432018324e-35
256,1636148068921376768,Gaia DR3 2076277595669533696,2076277595669533696,132389440,2016.0,295.5241938211128,0.0153947165,39.875240089018135,0.016347026,0.9173869711187022,0.01846652,48.206646,6.528368,-3.577824418787378,0.020785209,-5.460655932625457,0.021546409,-0.009021362,0.027227469,-0.21257591,0.02369712,0.13733768,0.0023514475,-0.28306803,-0.18488823,0.026432341,-0.08251577,319,0,319,0,-0.1125046,319.55255,0.0,0.0,31,False,1.5498819,,,,,,,,38,24,0.030978138,43,17,0,0.014476718,170.37764,0,0,0.99445415,0.17851575,0.03127336,0.20530665,0.29053923,-122.00496,84.78005,6.783313,-27.726757,False,328,26391.931952406096,6.7338285,3919.3057,14.633689,37,14051.439495889836,13.7774315,1019.8882,14.96924,40,17766.90779559758,14.886706,1193.4747,14.123866,1.2056088,0.0,1.0,0.0,0.0,0.0,0.8453741,0.33555126,0.50982285,-19.594763,9.880953,2.0,16.0,4.0,15.0,3.525789,,,855.3036,,6000.0,4.5,-0.5,222.0,,,,13.915795,0.14712647,12.0,,NOT_AVAILABLE,73.77527172194712,8.197842598662113,311.0027104012209,59.733660353721845,False,False,0,True,True,False,False,False,True,True,False,1.02361025e-13,5.112882e-13,0.99996644,6262.0522,6249.819,6276.897,4.3948,4.3757,4.408,-0.2839,-0.2905,-0.2774,1050.3129,1034.522,1075.414,0.3969,0.3899,0.4066,0.3365,0.3304,0.3448,0.1813,0.178,0.1858,PHOENIX,0.580945473200294,0.3945754734567316,-0.027178,2.01294770705988,3.811163081198124e-96
323,1636148068921376768,Gaia DR3 2076277767468270336,2076277767468270336,1002694452,2016.0,295.5993374042465,0.009990626,39.88332406410872,0.011232515,0.3025829050498956,0.0127245365,21.515825,7.645993,-3.846657508176541,0.013950375,-6.607907391151462,0.013794854,-0.08103681,-0.015774446,-0.07583061,-0.0148968,0.28129354,-0.039630603,-0.1814081,-0.07967606,-0.17963769,-0.13406387,353,0,351,2,0.8286792,368.3229,0.0,0.0,31,False,1.4695101,,,,,,,,41,26,0.020474765,45,17,0,0.0102665145,16.629456,0,0,1.0306932,0.16389439,0.113870315,0.18787496,0.2344829,-113.05503,66.89131,9.26458,-23.432518,False,355,68511.95835283716,11.193279,6120.812,13.597951,42,30363.69752958763,21.442492,1416.0527,14.132655,41,54645.32255789432,22.956553,2380.3801,12.904013,1.240791,0.0,1.0,0.0,0.0,0.0,1.2286425,0.5347042,0.69393826,-36.88693,2.280962,2.0,19.0,8.0,16.0,11.003065,,,886.1153,,5000.0,3.5,-0.75,222.0,,,,12.580508,0.042399216,11.0,,NOT_AVAILABLE,73.81041440667077,8.151146141889349,311.1157255039076,59.72162819253798,False,False,0,True,True,False,False,False,True,True,False,1.0232258e-13,5.1109616e-13,0.99997026,5829.108,5821.708,5837.2354,3.2664,3.2425,3.273,-0.0375,-0.0386,-0.0362,2344.6736,2327.7954,2412.664,1.0751,1.0699,1.0803,0.8735,0.869,0.8779,0.4706,0.4682,0.4731,MARCS,0.36266225860625156,0.20876282283363196,-0.028804,4.205305814583853,1.395585191408817e-23
343,1636148068921376768,Gaia DR3 2076277836187745408,2076277836187745408,1390114972,2016.0,295.5881256711129,0.013437183,39.88866661340826,0.014959325,0.6554100920250411,0.01653949,37.934185,2.9766178,0.4418570247458909,0.019284291,-2.9436398454656496,0.018689407,-0.031206947,-0.017131425,-0.06986099,0.07703348,0.21479101,0.0485747,-0.28680763,-0.16000023,-0.11891955,-0.022107365,326,0,326,0,0.31431386,332.7546,0.0,0.0,31,False,1.501283,,,,,,,,38,27,0.026943889,41,16,0,0.008791661,170.26845,1,0,1.0113881,0.11480622,0.04760407,0.13701585,0.20462783,-142.87013,78.21342,11.919117,-27.403215,False,324,35581.73680702532,6.63942,5359.1636,14.309299,33,17050.13642270914,23.126528,737.2545,14.759223,33,26460.93883771187,20.887028,1266.86,13.691382,1.2228485,0.0,2.0,0.0,1.0,0.0,1.0678406,0.44992352,0.61791706,-56.057518,4.6020865,2.0,16.0,5.0,14.0,4.545795,,,719.497,,5250.0,4.5,-0.25,222.0,,,,13.591034,0.073753364,11.0,,NOT_AVAILABLE,73.81097110790107,8.16125806112718,311.103294737973,59.7295831255259,False,False,0,True,True,False,False,False,True,True,False,1.0257576e-13,5.1236077e-13,0.9999452,5540.663,5525.321,5555.374,4.0455,4.0392,4.0526,-0.3286,-0.3455,-0.3144,1278.9147,1257.71,1297.8978,0.4368,0.428,0.4452,0.3561,0.3488,0.363,0.1907,0.1868,0.1944,PHOENIX,4.3643735235600865,0.6349080723577294,-0.027998,2.523533006471936,3.982311769184847e-64
383,1636148068921376768,Gaia DR3 2076277904907193728,2076277904907193728,290805416,2016.0,295.5510218965017,0.013834271,39.87034105057826,0.015952965,0.7920577775021358,0.017186588,44.50225,8.6864605,-4.792899342127703,0.018504085,-7.24449580247098,0.020069724,-0.008436215,-0.053154957,-0.11985351,-0.020725613,0.21255602,-0.046466902,-0.37526733,-0.17265543,-0.11145252,-0.05008544,342,9,341,1,-0.55426574,329.252,0.0,0.0,31,False,1.5583264,,,,,,,,40,26,0.028726524,43,18,0,0.010586874,8.681281,0,0,0.9777103,,,,,,,,,False,346,29990.327486309467,7.273502,4123.231,14.494914,39,16217.633578867171,18.30286,886.071,14.813574,39,19808.21045527673,18.701342,1059.1866,14.005782,1.2012488,0.0,0.0,0.0,0.0,0.0,0.8077917,0.31865978,0.48913193,22.257517,9.862136,2.0,15.0,5.0,13.0,3.948195,,,886.11536,,6000.0,4.5,0.0,222.0,,,,13.832515,0.06608499,11.0,,NOT_AVAILABLE,73.7809161774446,8.17742877851659,311.0378126538836,59.72204943581544,False,False,0,True,True,False,False,False,True,True,False,1.0319298e-13,5.1544375e-13,0.9998841,6144.8433,6112.782,6178.87,4.2174,4.1909,4.244,-0.2456,-0.272,-0.2184,1198.2067,1174.1945,1226.2201,0.3022,0.285,0.321,0.2571,0.2423,0.2733,0.1389,0.1308,0.1475,MARCS,0.3860728898968597,0.2770341035073075,-0.027216,2.1698654426701407,2.0420857517097429e-75
387,1636148068921376768,Gaia DR3 2076277904907198080,2076277904907198080,1728596893,2016.0,295.5589273485399,0.012374897,39.870077025636405,0.013862756,0.5480736910143144,0.015130091,34.410675,10.390438,-5.127470653727984,0.017148271,-9.03715876601807,0.018160488,-0.06729174,-0.030642997,-0.10500735,0.026968021,0.14273022,0.009075484,-0.31270722,-0.1460665,-0.053373024,-0.08042529,375,0,372,3,1.8099884,425.33566,0.0082969945,0.031735405,31,False,1.5544959,,,,,,,,43,27,0.025999838,46,18,0,0.01089377,175.39307,0,0,1.0666182,0.18079548,0.09062512,0.17246595,0.24264175,-121.94216,69.02639,7.540904,-27.178696,False,377,35601.01433905957,8.3604965,4258.2417,14.308711,44,19088.711708001883,18.114395,1053.7869,14.6366005,43,23653.88564274851,16.263346,1454.4292,13.813139,1.2006005,0.0,1.0,0.0,0.0,0.0,0.82346153,0.32788944,0.4955721,-1.0656455,5.869847,2.0,16.0,6.0,13.0,4.9528046,,,886.11536,,6000.0,4.5,-0.25,222.0,,,,13.640462,0.084689535,11.0,,NOT_AVAILABLE,73.78362588784222,8.171979993558494,311.0489496439332,59.71973632619084,False,False,0,True,True,False,False,False,True,True,False,1.0249906e-13,5.1197767e-13,0.9999528,6318.901,6307.6196,6334.6416,4.0148,3.9985,4.0289,-0.2727,-0.2788,-0.2673,1655.5631,1618.5006,1700.2867,0.396,0.3897,0.4059,0.337,0.3314,0.3455,0.1813,0.1783,0.186,PHOENIX,0.33443918372369735,0.2009535128262644,-0.027437,2.760594286508972,2.5100896481216673e-57
390,1636148068921376768,Gaia DR3 2076277904907203200,2076277904907203200,337432478,2016.0,295.5563498355446,0.012845492,39.8819499858853,0.014349582,0.1960201200450069,0.015843919,10.577946,4.059762,-2.203908484220734,0.01794319,-3.409465467229122,0.018340012,-0.05528435,-0.056596454,-0.034226473,0.005581369,0.18668011,-0.011488356,-0.2801816,-0.1376785,-0.003765158,-0.084756106,343,0,342,1,-1.0056583,313.7404,0.0,0.0,31,True,1.4622434,,,,,,,,40,26,0.026409661,44,17,0,0.011314645,157.13185,0,0,0.96053857,0.14112362,0.071385145,0.15207373,0.18507245,-132.81728,71.58688,12.621518,-26.055233,False,349,35896.27244432132,7.0909615,5062.2573,14.299744,40,15614.486273563907,19.49803,800.8238,14.854723,39,29033.79530920773,22.936731,1265.8209,13.590636,1.2438139,0.0,1.0,0.0,0.0,0.0,1.2640867,0.5549793,0.7091074,-189.35097,3.257503,2.0,17.0,9.0,15.0,6.1375337,,,886.1153,,5000.0,3.5,-0.75,222.0,,,,13.258068,0.13615799,8.0,,NOT_AVAILABLE,73.79318729766071,8.179416943631965,311.0532769845914,59.73157358148291,False,False,0,True,True,False,False,False,True,True,False,1.0226209e-13,5.1079404e-13,0.9999763,5627.734,5614.4336,5670.621,3.0885,3.0604,3.0973,-0.1551,-0.1561,-0.1532,3899.7395,3859.8845,4055.776,1.013,1.0022,1.0451,0.816,0.8069,0.8428,0.4391,0.4341,0.4537,MARCS,0.8141531342370788,0.5379145844496545,-0.028424,8.082802416589779,1.9521150522616432e-175
543,1636148068921376768,Gaia DR3 2076278145425399424,2076278145425399424,209551750,2016.0,295.57972689055026,0.01660829,39.923495676938415,0.019214423,0.40918179032035057,0.020677295,18.463236,2.625263,-1.812559888285977,0.022649115,-1.8991136139088065,0.024402892,-0.08337112,-0.13033852,-0.09743751,0.035064515,0.18630114,0.002939211,-0.33857435,-0.13015153,-0.11372359,-0.08088288,358,0,356,2,10.411305,715.1699,0.15522183,12.339143,31,False,1.5689737,,,,,,,,42,27,0.035036527,45,18,0,0.0052875895,171.53157,0,0,1.4165918,0.18968552,0.11106213,0.18345004,0.21205637,-129.26274,74.05532,14.346934,-24.99427,False,363,40548.24427471322,12.076001,3357.7542,14.167437,41,22397.53695122924,17.838219,1255.5927,14.463041,42,26287.98254628126,22.132755,1187.7411,13.698503,1.2006813,0.0,1.0,0.0,1.0,0.0,0.76453876,0.2956047,0.46893406,59.88077,9.68665,2.0,14.0,3.0,12.0,4.5676107,,,815.6364,,6250.0,4.5,-0.5,222.0,,,,13.538398,0.07118411,12.0,,VARIABLE,73.83870391677151,8.183641198801489,311.1148426641308,59.76452195779562,False,False,0,True,True,False,True,False,True,True,False,1.02195494e-13,5.1046136e-13,0.99998283,6630.632,6417.2397,6687.2056,3.444,3.3849,3.4889,-0.4509,-0.4576,-0.4467,3524.6504,3364.1196,3710.1216,0.5245,0.4053,0.5544,0.4541,0.3491,0.4806,0.2458,0.1889,0.2601,MARCS,1.2495650569327026,1.2849621961149187,-0.027412,5.05332727143396,8.679304960438646e-21
564,1636148068921376768,Gaia DR3 2076278557742084736,2076278557742084736,1697006413,2016.0,295.376591627892,0.043514743,39.80833405558473,0.04990401,0.8447672697185423,0.054181207,15.0729065,2.827851,0.6198768414446638,0.057301737,-2.7590748564884366,0.06254652,-0.048269656,-0.046545282,-0.030297568,-0.07991887,0.16504557,-0.098930195,-0.25312614,-0.127192,-0.092814244,-0.06863978,379,0,379,0,63.517223,6235.944,0.6013239,213.61404,31,False,1.5234023,,,,,,,,44,27,0.08841309,47,18,0,0.012894136,168.12276,0,0,4.066481,0.14957015,0.11801369,0.1471937,0.12471281,-121.91975,71.74538,2.2451403,-20.697208,False,385,51039.85842388061,26.30093,1940.6104,13.917593,44,25866.465720751978,43.16808,599.20355,14.3067,41,36278.63505170708,57.387638,632.1681,13.348768,1.2175798,0.0,0.0,0.0,0.0,0.0,0.9579315,0.38910675,0.56882477,-48.032684,7.9993215,2.0,17.0,5.0,15.0,6.9198003,,,790.2085,,5500.0,4.0,0.25,222.0,,,,13.109756,0.07538175,13.0,,NOT_AVAILABLE,73.66105165728389,8.265234173854166,310.74626235830345,59.70913845302879,False,False,0,True,True,False,False,False,True,True,False,1.02736226e-13,5.1316227e-13,0.9999293,5444.92,5412.302,5470.825,4.1619,4.1434,4.1817,-0.1776,-0.2108,-0.1518,946.3012,910.3087,977.1708,0.1618,0.1405,0.1788,0.1331,0.1155,0.1472,0.0712,0.0617,0.0787,MARCS,9.244051909804297,2.266938131559249,-0.028099,6.413743635930873,1.2448279241830694e-99
594,1636148068921376768,Gaia DR3 2076278660821319424,2076278660821319424,121082298,2016.0,295.3982108121524,0.01104012,39.81583710137112,0.0124819195,0.7941225497111687,0.013714625,55.882282,8.026179,5.249275173536346,0.014714475,-6.071628289337918,0.015592272,-0.075751945,-0.043226354,-0.08434351,-0.07385226,0.24751471,-0.081939735,-0.25433573,-0.07656547,-0.13055056,-0.18977593,345,0,345,0,-0.71804225,323.64246,0.0,0.0,31,False,1.5704888,,,,,,,,40,25,0.02305732,43,17,0,0.023057034,172.94283,0,0,0.9716199,0.15116929,0.12981449,0.19515999,0.18707769,-129.21399,64.24991,8.274736,-19.60966,False,360,53627.03833450549,9.975881,5375.6694,13.863907,40,29611.628382490235,20.001749,1480.4519,14.159886,38,34474.18886025754,23.437904,1470.8733,13.4041605,1.1950281,0.0,0.0,0.0,1.0,0.0,0.75572586,0.2959795,0.45974636,18.116919,5.0214534,2.0,18.0,4.0,14.0,5.941886,,,815.6365,,6250.0,4.5,-0.25,222.0,,,,13.252479,0.046553787,15.0,,NOT_AVAILABLE,73.67574291360984,8.254247769762284,310.7822781100812,59.71058448243394,False,False,0,True,True,False,False,False,True,True,False,1.0231069e-13,5.110368e-13,0.99997145,6105.387,6077.991,6137.817,3.8526,3.8388,3.8888,-0.4914,-0.513,-0.4712,1454.8044,1381.9578,1474.639,0.1857,0.1712,0.2036,0.1588,0.1462,0.1743,0.086,0.0793,0.0944,MARCS,0.28031441510594524,0.2568054442229411,-0.027718,1.7270161897541083,1.267786260158501e-292
735,1636148068921376768,Gaia DR3 2076278970059025664,2076278970059025664,233345200,2016.0,295.46597150415107,0.013774698,39.85401398718892,0.015116318,0.9385058996978886,0.017256565,52.780487,19.320875,-12.642974067886165,0.019659994,-14.609975924334014,0.018541915,-0.073507234,-0.079099976,-0.019463113,0.03222745,0.26639888,-0.03626005,-0.33353797,-0.24515213,-0.14657134,-0.051731937,315,9,311,4,2.5046003,376.89767,0.03474437,0.5104214,31,False,1.5341828,,,,,,,,37,25,0.027553204,40,14,0,0.019424941,136.7565,0,2,1.1018068,,,,,,,,,False,311,37383.97060858792,9.145818,4087.548,14.255653,36,19266.47737429129,27.110668,710.66034,14.626536,36,25990.20987182413,16.270807,1597.3522,13.710871,1.2105907,0.0,1.0,0.0,0.0,0.0,0.9156656,0.370883,0.54478264,-33.951748,4.831651,2.0,15.0,9.0,11.0,4.8588142,,,759.4707,,5750.0,4.5,-0.5,222.0,,,,13.479954,0.05692597,7.0,,NOT_AVAILABLE,73.73479468895079,8.226872060064926,310.9050187794655,59.72887623329299,False,False,0,True,True,False,False,False,True,True,False,1.0303905e-13,5.146749e-13,0.9998993,5931.7275,5832.4883,6056.268,4.2295,4.2005,4.2543,0.0041,-0.0851,0.1307,968.665,943.0128,1017.5924,0.3978,0.3411,0.4712,0.3329,0.2847,0.3953,0.1786,0.1529,0.212,MARCS,0.15550133927694626,0.1269127005823264,-0.027696,1.8387273863227718,0.0
803,1636148068921376768,Gaia DR3 2076279073139153920,2076279073139153920,1034125055,2016.0,295.4119398399304,0.016942391,39.82705539417518,0.01732857,0.16318770950590492,0.019312242,6.9076757,5.595051,-2.835412181831133,0.022473553,-4.823384021136293,0.021675656,-0.022449477,-0.15746275,-0.26777577,-0.07351742,0.19986346,-0.09814176,-0.31090507,0.005457722,-0.09303289,-0.051942334,353,0,350,3,1.7657869,661.5128,0.13611394,9.592854,95,False,,1.3907493,0.0046056616,-0.06720713,-0.02838424,-0.028392397,-0.019390084,-0.076201916,41,26,0.031755425,45,45,0,0.020685825,170.23003,0,0,1.0670794,0.14812225,0.08641419,0.14751221,0.15762895,-126.21352,58.187653,2.5526292,-22.53184,False,357,46231.206134798966,12.479654,3704.5264,14.025029,40,15805.71797612762,27.180162,581.51666,14.841507,40,43699.91122411127,21.783058,2006.1422,13.146694,1.2871312,0.0,0.0,0.0,0.0,0.0,1.6948128,0.8164778,0.878335,-19.131786,1.7407874,2.0,18.0,8.0,14.0,10.234309,,,815.6364,,5500.0,4.5,0.0,0.0,,,,12.761654,0.03912943,10.0,,NOT_AVAILABLE,73.69079708525808,8.25036482110309,310.80948042817323,59.717572893330896,False,False,0,True,True,False,False,False,True,True,False,1.02060084e-13,5.09785e-13,0.99999624,4482.042,4472.586,4489.358,2.0958,2.0798,2.1083,-0.0117,-0.0133,-0.0104,5992.0806,5914.247,6092.754,1.0105,0.9978,1.02,0.751,0.7413,0.7584,0.3933,0.3881,0.3973,MARCS,0.7926026820370925,0.44938690149936794,-0.029785,11.834372857167402,1.2351671023850958e-19
808,1636148068921376768,Gaia DR3 2076279107497946624,2076279107497946624,1436750669,2016.0,295.41903521953265,0.0089909965,39.84832059710525,0.0102739595,0.33256860050696496,0.011257584,27.050705,8.818088,-2.922090112748041,0.0119679095,-8.319859094448725,0.012320701,-0.12689798,-0.10753172,-0.07186996,-0.03147657,0.28668892,-0.07490703,-0.30917346,-0.13586892,-0.13305464,-0.15352482,333,0,329,4,-0.35344496,336.68182,0.0,0.0,31,False,1.4568194,,,,,,,,39,24,0.018208005,42,16,0,0.027114522,176.15121,0,0,0.9851237,0.19691867,0.12486837,0.19725744,0.16512674,-135.7576,59.744667,2.7374814,-23.135101,False,343,109865.5319301973,16.484694,6664.6997,13.085214,39,47085.48683907591,28.97651,1624.9537,13.656324,39,89616.67699884262,32.41108,2765.0012,12.366923,1.244268,0.0,0.0,0.0,0.0,0.0,1.289401,0.5711107,0.7182903,13.613607,1.29153,2.0,18.0,6.0,13.0,16.409853,,,790.2085,,4750.0,3.0,-1.0,222.0,,,,12.092088,0.02121979,12.0,,NOT_AVAILABLE,73.71229613314298,8.255769214202394,310.8339339205904,59.7357366451604,False,False,0,True,True,False,False,False,True,True,False,1.02076076e-13,5.098649e-13,0.9999947,5307.7065,5286.3857,5358.844,2.5866,2.5565,2.5972,-0.1579,-0.1588,-0.1563,4418.75,4359.12,4582.7095,0.8188,0.8012,0.8637,0.6507,0.6363,0.6876,0.3474,0.3396,0.3675,MARCS,0.4095667497654594,0.14808785653858925,-0.028043,3.385041156272428,5.939361403220242e-38
857,1636148068921376768,Gaia DR3 2076279141857709440,2076279141857709440,1755713520,2016.0,295.4542874141289,0.011019237,39.85087850214259,0.011812542,0.1473733917849795,0.013256132,8.789622,5.361432,-2.348575870147966,0.015129086,-4.8196622958723045,0.014699825,-0.04170451,-0.01735837,-0.032501183,-0.050997503,0.23727036,-0.059982672,-0.28607973,-0.11292261,-0.09017452,-0.123051666,346,0,346,0,1.5063479,361.1746,0.0,0.0,31,False,1.3767312,,,,,,,,40,25,0.021948176,43,16,0,0.026968021,174.00475,0,0,1.0572361,0.121623784,0.06440426,0.12143868,0.13305123,-123.39716,51.710976,-1.056168,-26.363272,False,355,57403.1683657973,15.139351,3791.6533,13.790028,41,18989.995599402908,16.32547,1163.2128,14.64223,41,55362.488763253685,29.84148,1855.2192,12.889856,1.2952679,0.0,0.0,0.0,0.0,0.0,1.7523737,0.8522024,0.9001713,-23.485552,1.4838215,2.0,15.0,8.0,12.0,12.225496,,,790.13446,,4250.0,2.0,-0.5,222.0,,,,12.500042,0.034690335,7.0,,NOT_AVAILABLE,73.72766938896248,8.233240718795258,310.88616979887394,59.728969403495,False,False,0,True,True,False,False,False,False,True,False,1.0205361e-13,5.0975267e-13,0.99999696,,,,,,,,,,,,,,,,,,,,,,,0.6441812756530974,0.30499699144044484,-0.030857,8.994929029889564,1.0568889691058544e-24
924,1636148068921376768,Gaia DR3 2076279244936925696,2076279244936925696,1410285344,2016.0,295.4452184179511,0.009964936,39.86502953816472,0.010947862,0.30411596385546436,0.012285182,22.377605,3.9012067,-1.2350136287418698,0.013763748,-3.700561485181198,0.0136608435,-0.071941115,-0.09125466,-0.0773382,-0.04813431,0.2362094,-0.0908941,-0.27508247,-0.21058547,-0.08462989,-0.13823275,349,0,348,1,1.2217126,370.172,0.0,0.0,31,False,1.435934,,,,,,,,41,25,0.020291045,44,16,0,0.013069481,160.30826,0,0,1.0460193,0.19219467,0.076717675,0.1759819,0.16667326,-115.180984,63.002266,0.0699473,-21.938921,False,362,71754.96520633515,10.10935,7097.881,13.547737,40,29055.46826370045,22.888092,1269.4579,14.180472,38,60866.099197575306,28.017494,2172.432,12.786957,1.2531755,0.0,40.0,0.0,3.0,0.0,1.3935156,0.63273525,0.76078033,2.0628538,1.3020227,2.0,19.0,7.0,14.0,12.637805,,,790.2085,,4750.0,3.0,-0.25,222.0,,,,12.443613,0.049028113,12.0,,NOT_AVAILABLE,73.73684695368178,8.246133318964821,310.88269853764194,59.7446428332807,False,False,0,True,True,False,False,False,True,True,False,1.02033535e-13,5.096523e-13,0.9999989,4674.8774,4627.0044,4684.7993,2.397,2.2955,2.4235,-0.3296,-0.3335,-0.3249,3562.4106,3457.7327,3963.8318,0.4525,0.3961,0.4631,0.3476,0.3035,0.3559,0.1834,0.1598,0.1878,PHOENIX,1.1144612237211806,0.3691559660528407,-0.029203,4.039637329212589,5.653262469893579e-13
